성별,연령별,2001,2001,2001,2001,2001,2001,2001,2001,2001
성별,연령별,계,배우자 부정,"정신적,육체적 학대",가족간 불화,경제문제,성격차이,건강문제,기타,미상
남편,20 - 24세,"2,081",144,83,368,201,953,7,312,13
,25 - 29세,"12,393",970,475,"2,017","1,167","5,878",56,"1,752",78
,30 - 34세,"26,099","2,092","1,035","4,445","2,646","12,222",173,"3,323",163
,미상,7,1,0,2,0,0,1,3,0
아내,20 - 24세,"6,969",500,318,"1,207",619,"3,195",36,"1,056",38
,25 - 29세,"22,880","1,764",966,"3,814","2,289","10,634",152,"3,092",169
,30 - 34세,"30,757","2,613","1,389","5,231","3,344","13,913",187,"3,851",229
,미상,4,1,1,0,0,0,0,2,0
