연도,연령별,계,배우자 부정,"정신적,육체적 학대",가족간 불화,경제문제,성격차이,건강문제,기타,미상
2015,20 - 24세,"1,067",57,43,102,69,548,4,218,26
2015,25 - 29세,"3,295",262,127,297,198,"1,675",10,652,74
2015,30 - 34세,"9,904",826,323,746,648,"5,149",29,"1,988",195
2016,20 - 24세,"2,993",219,107,239,140,"1,339",12,813,124
2016,25 - 29세,"7,225",615,245,582,375,"3,488",27,"1,568",325
2016,30 - 34세,"13,575","1,055",460,"1,043",948,"6,758",54,"2,580",677
2017,20 - 24세,"2,782",227,102,264,127,"1,182",8,720,152
2017,25 - 29세,"7,126",619,245,576,409,"3,289",24,"1,502",462
2017,30 - 34세,"12,857",998,483,973,889,"6,118",41,"2,462",893
